127.0.0.1 - - [18/Jun/2020:14:44:31 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/ HTTP/1.1" 200 28614
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/mail/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/mail/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:14:44:32 +0700] "GET /RMN_4SC/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/add_matakuliah.jsp HTTP/1.1" 200 18752
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:09 +0700] "GET /RMN_4SC/admin/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:12 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:01:12 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:05:01 +0700] "GET /RMN_4SC/admin/add_matakuliah.jsp HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:06:19 +0700] "GET /RMN_4SC/admin/add_matakuliah.jsp HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [18/Jun/2020:15:06:19 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
