127.0.0.1 - - [26/Jun/2020:19:07:42 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:15 +0700] "GET /hava_app/hava-admin/feedback.jsp HTTP/1.1" 200 7626
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/user_data.jsp HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/img/find_user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:30 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:42 +0700] "GET /hava_app/hava-admin/assets/font-awesome/fonts/fontawesome-webfontba72.woff?v=4.0.3 HTTP/1.1" 304 -
