127.0.0.1 - - [26/Jun/2020:19:07:42 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/index.jsp HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/css/bootstrap.css HTTP/1.1" 200 120718
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/css/font-awesome.css HTTP/1.1" 200 21743
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/css/custom.css HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/img/find_user.png HTTP/1.1" 200 10387
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/morris/morris-0.4.3.min.css HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/morris/morris.js HTTP/1.1" 200 67182
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/morris/raphael-2.1.0.min.js HTTP/1.1" 200 90647
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/jquery.js HTTP/1.1" 200 282946
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/jquery.metisMenu.js HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:45 +0700] "GET /hava_app/hava-admin/assets/js/bootstrap.min.js HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:07:57 +0700] "GET /hava_app/hava-admin/assets/font-awesome/fonts/fontawesome-webfontba72.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/user_data.jsp HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/img/find_user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:19:08:08 +0700] "GET /hava_app/hava-admin/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 200 409595
